,RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
28,7106,15604355,S2147,618,S1,Female,37,3,118877.17,2,1,1,113242.58,0
29,340,15812241,S965,650,S1,Female,43,3,112689.4,2,1,0,103910.3,0
30,5444,15592773,S652,661,S1,Male,38,5,113914.85,1,0,0,102672.46,0
31,521,15795640,S2233,649,S0,Male,39,4,134417.53,1,1,0,85780.07,0
32,8771,15663650,S876,587,S2,Female,57,4,136793.94,1,1,1,89328.43,0
33,3366,15698285,S855,578,S0,Male,39,5,62397.41,1,0,0,89207.61,0
34,1133,15798749,S799,652,S0,Male,32,6,62397.41,2,1,1,105200.8,0
35,3830,15689341,S425,631,S1,Female,42,6,135385.72,1,1,0,125123.17,0
36,7741,15753679,S1755,574,S1,Female,35,4,138926.85,1,0,0,84809.87,0
37,8854,15616859,S2092,650,S1,Male,41,5,98772.93,2,1,0,73192.05,0
38,8443,15791321,S1328,722,S0,Male,65,6,97789.4,1,1,1,73016.82,0
39,9609,15765857,S2433,666,S2,Female,42,6,62397.41,3,1,0,87994.57,0
40,7325,15602010,S2522,656,S0,Male,36,4,62397.41,1,1,0,90126.18,1
41,2355,15747960,S2377,598,S1,Female,40,6,128289.78,1,1,1,139448.71,0
42,4845,15621520,S1104,560,S2,Female,51,3,132909.52,3,0,0,87056.81,1
43,6636,15732266,S2346,672,S0,Female,37,2,121755.66,2,1,0,101345.85,0
44,8465,15789097,S632,648,S1,Female,42,6,101286.1,2,0,1,131810.26,0
45,8207,15777743,S1441,745,S0,Male,50,6,114317.96,1,1,1,79173.2,0
46,1322,15708048,S1516,563,S0,Female,43,5,117606.24,1,1,0,68261.03,0
47,1902,15779913,S2575,634,S0,Male,60,6,62397.41,2,0,1,81739.17,0
48,4363,15768682,S925,546,S2,Female,48,4,62397.41,2,1,1,81481.6,0
49,1232,15797751,S755,504,S0,Male,47,5,62397.41,1,1,0,112750.56,1
50,595,15748589,S1038,620,S0,Male,40,4,62397.41,2,1,1,72917.51,0
51,447,15676156,S2348,650,S0,Male,51,5,123624.48,2,0,1,110261.64,0
52,3050,15600792,S2585,685,S0,Female,52,4,62397.41,2,1,1,133533.73,0
53,3709,15798429,S2495,598,S2,Female,62,4,62397.41,1,1,1,87482.2,0
54,1527,15702499,S2534,658,S0,Female,39,4,62397.41,2,1,1,88688.38,0
55,5911,15756299,S1862,657,S2,Female,48,4,138647.66,1,1,0,134301.16,0
56,791,15770995,S1461,682,S0,Female,42,3,62397.41,3,0,0,96695.96,1
57,1767,15605872,S1859,634,S2,Female,44,7,146774.41,1,0,1,122044.92,0
58,4386,15571756,S1038,747,S1,Female,52,3,106516.21,1,0,1,73103.31,1
59,5295,15702416,S2247,622,S0,Female,30,7,125581.31,1,0,0,131894.97,0
60,8359,15759067,S1118,703,S1,Male,46,4,117775.98,2,1,1,94706.52,0
61,7762,15598586,S1287,654,S2,Male,42,5,100130.74,1,1,1,61192.84,1
62,5009,15609653,S2454,699,S2,Male,42,6,62397.41,2,1,1,57913.69,0
63,3953,15772329,S2399,669,S2,Male,45,2,117242.8,1,0,1,128836.55,0
64,5887,15654733,S2463,692,S1,Male,44,5,146979.63,3,1,0,66205.98,1
65,4516,15648876,S2528,664,S2,Female,43,6,134824.32,1,1,1,62480.29,0
66,1417,15583725,S1820,578,S0,Female,44,3,62397.41,2,1,1,112727.73,0
67,8528,15671014,S648,655,S2,Female,49,3,62397.41,2,1,1,58855.02,0
68,1955,15807269,S2283,666,S2,Male,40,3,62397.41,2,1,0,102117.89,0
69,9440,15690175,S2365,647,S0,Female,38,5,62397.41,2,1,0,95873.62,0
70,4795,15661734,S539,565,S0,Female,38,6,118050.33,1,1,1,63702.66,0
71,4761,15661945,S2013,666,S1,Male,37,6,120438.27,2,1,1,114757.14,0
72,8896,15811026,S2046,667,S0,Male,30,4,117247.45,2,1,1,81389.77,0
73,985,15673539,S454,682,S0,Male,44,5,99658.64,1,1,1,62523.09,1
74,1326,15804919,S1562,588,S1,Female,51,5,110892.29,2,1,1,66160.11,0
75,6590,15773779,S2532,633,S2,Female,36,6,62397.41,2,0,1,93941.36,0
76,6307,15757467,S726,595,S0,Female,62,5,137763.51,1,1,1,89918.69,0
77,6598,15793825,S1110,584,S2,Female,34,5,62397.41,2,1,0,105314.91,0
78,665,15644103,S1314,647,S2,Female,44,4,119591.24,1,1,0,64577.47,0
79,9273,15644994,S1424,711,S2,Male,40,4,103003.44,1,1,0,106981.08,0
80,7391,15628272,S48,547,S2,Male,62,6,62397.41,2,1,1,63564.46,0
81,3031,15611599,S1468,753,S0,Male,55,5,128398.56,1,1,1,108147.67,0
82,5958,15737605,S673,542,S0,Female,44,3,62397.41,2,1,0,71012.75,0
83,1483,15646490,S2350,681,S0,Female,47,5,146918.83,1,0,1,141292.86,0
84,7560,15733888,S789,659,S1,Male,37,4,117083.83,2,0,1,110123.34,0
85,8126,15693233,S2276,642,S2,Female,56,4,150643.21,2,1,0,99602.56,1
86,3711,15574119,S2586,679,S0,Male,43,3,120970.09,1,0,0,119407.7,0
87,7583,15568088,S1674,645,S1,Male,39,3,139194.79,1,1,0,132165.56,1
88,3955,15663942,S346,612,S0,Male,45,4,62397.41,2,1,0,60164.89,0
89,3736,15646756,S2060,650,S0,Female,48,3,62397.41,1,1,1,106136.99,0
90,6240,15722322,S759,693,S0,Female,46,5,62397.41,2,1,0,104199.31,0
91,1001,15687558,S1677,676,S0,Female,44,5,117582.84,1,0,1,121070.52,0
92,3239,15732628,S2546,753,S0,Female,42,6,62397.41,1,0,0,100044.1,0
93,647,15792228,S2194,687,S0,Female,67,5,62397.41,2,0,1,103343.55,0
94,274,15639314,S2275,536,S2,Female,46,4,62397.41,2,0,1,142275.11,0
95,7610,15808023,S983,674,S2,Female,40,3,122796.55,1,1,0,110724.47,0
96,7894,15774155,S1363,713,S2,Female,54,3,62397.41,2,1,0,76683.36,1
97,3447,15711921,S1239,525,S2,Male,42,5,121923.2,1,0,1,125517.45,0
98,6564,15770101,S73,611,S1,Female,54,4,121930.87,1,1,1,114264.45,1
99,12,15775662,S2266,717,S0,Male,37,5,98218.19,2,0,1,111009.95,0
100,4473,15660211,S1923,667,S0,Female,37,3,62397.41,2,1,0,66048.5,0
101,466,15787884,S733,587,S1,Male,43,4,122553.91,1,1,0,115737.78,0
102,2296,15774738,S929,541,S2,Male,39,2,90031.18,1,1,1,115681.97,0
103,8990,15689237,S1957,625,S0,Male,60,5,62397.41,2,1,1,83483.7,0
104,7260,15752838,S246,610,S0,Female,39,2,128361.96,2,1,0,135360.2,0
105,1584,15577514,S1666,672,S1,Male,34,5,136545.61,1,0,0,79226.3,0
106,9902,15814750,S233,526,S0,Female,44,5,62397.41,1,1,0,129881.31,1
107,5056,15672826,S1610,724,S2,Female,47,5,62397.41,2,1,1,112057.3,0
108,6654,15780954,S2321,609,S0,Male,44,6,62397.41,2,0,0,97332.13,0
109,1712,15683657,S2455,466,S2,Male,41,2,62397.41,1,1,1,133793.26,1
110,6514,15710295,S1507,642,S1,Female,40,4,116814.32,2,1,0,131851.4,0
111,5972,15758856,S1730,730,S0,Female,60,7,94900.01,2,0,1,117187.71,0
112,6661,15775192,S930,718,S0,Male,48,5,62397.41,2,1,0,140499.37,0
113,9099,15773283,S2567,588,S0,Male,43,5,62397.41,2,1,1,112700.88,0
114,4670,15755731,S245,710,S1,Male,66,6,134044.24,2,1,1,109562.95,0
115,786,15661936,S673,741,S1,Male,38,6,102738.03,1,1,0,140304.81,0
116,6094,15623927,S1500,658,S2,Male,32,6,62397.41,1,0,0,62140.91,0
117,6308,15696098,S1948,668,S2,Male,68,5,62397.41,2,0,0,121848.92,0
118,8587,15677550,S776,753,S0,Female,39,4,62397.41,2,1,1,62258.03,0
119,6733,15588197,S360,593,S0,Male,46,6,62397.41,2,1,1,118536.23,0
120,1154,15720353,S745,603,S2,Male,43,7,115330.89,2,1,0,116154.17,0
121,4184,15595588,S443,617,S0,Male,40,3,148931.53,1,1,1,125396.99,0
122,9998,15709232,S995,680,S2,Male,65,4,62397.41,2,1,1,117496.37,0
123,4893,15685997,S2258,678,S1,Female,40,6,125668.13,2,1,0,80611.05,1
124,8336,15670427,S652,561,S2,Female,45,6,62397.41,1,0,0,122456.5,0
125,2149,15707242,S422,560,S0,Male,37,5,114570.57,1,1,1,110924.03,0
126,7928,15734461,S599,595,S0,Male,58,6,62397.41,4,1,1,63300.93,1
127,4499,15760873,S2210,642,S0,Female,40,5,62397.41,1,1,1,78380.3,1
128,6901,15571305,S1732,561,S0,Male,37,3,62397.41,2,1,0,58101.5,0
129,3872,15684269,S1473,650,S1,Female,40,3,128928.22,2,0,0,136589.92,0
130,5718,15702919,S60,624,S2,Male,43,4,62397.41,1,1,1,102549.04,0
131,6627,15580487,S1512,563,S1,Male,43,3,103878.17,1,1,0,105988.24,0
132,7039,15677512,S223,639,S0,Female,47,5,62397.41,2,1,1,85789.66,0
133,9195,15623858,S1079,706,S2,Female,46,3,118009.19,1,0,0,103741.58,0
134,4872,15658432,S2337,650,S0,Female,45,4,136926.04,1,1,1,76504.38,1
135,6540,15668886,S1125,697,S1,Male,37,4,112105.25,1,1,1,77838.46,0
136,7513,15806081,S1548,690,S0,Female,39,6,62397.41,2,1,0,80281.8,0
137,6289,15792989,S2168,542,S0,Female,37,2,116147.3,1,0,1,76210.59,0
138,3124,15626385,S558,709,S0,Female,36,4,85712.45,3,1,0,111870.89,1
139,8483,15737732,S936,539,S1,Female,38,3,149519.82,1,0,1,109672.21,0
140,6181,15784010,S1374,699,S2,Female,40,4,122383.46,3,1,1,77533.15,1
141,5564,15751336,S808,550,S0,Female,43,3,99335.63,1,0,1,104090.73,1
142,8,15766908,S1137,599,S2,Male,40,5,131306.24,1,0,0,90174.96,0
143,6292,15789498,S1217,723,S2,Male,42,5,62397.41,2,0,1,82057.9,0
144,2703,15801265,S1653,592,S2,Male,47,5,62397.41,1,0,0,124932.83,0
145,6607,15701738,S2258,753,S2,Male,41,2,62397.41,2,1,0,117522.67,0
146,4161,15571261,S290,614,S0,Female,47,4,96896.17,1,1,0,128891.28,1
147,7669,15668943,S965,628,S0,Female,45,6,62397.41,2,1,1,79338.14,0
148,6085,15757911,S454,568,S0,Female,33,5,62397.41,2,0,0,138601.2,0
149,6258,15574283,S1727,599,S1,Male,44,7,131483.97,2,1,1,63512.97,0
150,3539,15667620,S1414,610,S1,Female,57,4,122220.15,2,1,0,72471.2,1
151,6278,15646190,S182,660,S0,Male,53,4,62397.41,2,0,1,104805.25,0
152,6180,15808182,S1292,623,S2,Male,39,5,132457.48,2,0,0,71940.51,0
153,8334,15700864,S612,567,S1,Male,33,4,111724.1,2,1,1,79740.46,0
154,3637,15645572,S2360,652,S2,Male,46,6,62397.41,2,1,0,103319.71,0
155,3253,15570002,S2211,624,S1,Female,48,5,116668.17,2,1,0,123739.56,0
156,1206,15733429,S433,677,S1,Female,37,4,103977.86,2,1,0,83097.84,0
157,6826,15815530,S1698,534,S1,Female,42,5,150322.39,1,1,0,74546.58,0
158,3286,15722965,S1957,527,S0,Female,43,5,62397.41,1,1,1,68001.16,0
159,44,15775888,S411,611,S1,Male,32,5,129106.05,1,1,1,118657.31,0
160,1841,15776824,S2409,578,S1,Male,39,6,127921.5,2,1,0,102398.3,0
161,1560,15808473,S1106,687,S1,Male,40,5,131182.77,1,0,0,93420.21,0
162,2837,15570835,S1300,640,S0,Female,62,5,62397.41,2,1,1,99913.15,0
163,4264,15589881,S2350,657,S0,Male,43,5,101426.09,1,1,1,68311.32,0
164,71,15592028,S2414,616,S2,Male,44,5,113100.84,1,0,1,114728.36,0
165,6982,15722532,S1507,612,S2,Male,42,2,62397.41,2,1,1,73667.6,0
166,2744,15657214,S2372,591,S0,Female,48,2,62397.41,3,0,1,113406.5,1
167,2045,15794048,S531,563,S0,Female,38,4,62397.41,1,1,1,106353.13,0
168,8039,15775892,S1208,588,S2,Male,46,6,101612.16,1,0,1,70543.99,0
169,4878,15739502,S2256,669,S1,Male,47,4,128258.17,1,1,0,88957.47,1
170,6813,15659949,S233,686,S0,Male,38,5,62397.41,1,1,1,85063.46,0
171,4354,15786617,S1164,642,S0,Female,39,6,62397.41,2,0,1,103068.95,0
172,8705,15578251,S1745,706,S0,Female,44,7,62397.41,2,0,1,86959.91,0
173,2166,15762799,S933,670,S0,Male,30,5,100830.38,1,1,1,131231.9,0
174,4650,15667751,S2416,676,S0,Male,43,4,143142.54,2,1,0,82006.45,0
175,619,15749004,S892,624,S1,Male,34,5,107834.52,1,1,1,58918.55,0
176,8391,15706537,S860,599,S0,Male,51,4,123293.16,1,0,0,59230.7,1
177,403,15587266,S2430,668,S0,Male,41,3,113034.87,3,0,0,87578.15,1
178,3512,15747097,S802,565,S0,Male,37,4,99197.77,1,0,1,111385.48,0
179,6777,15595282,S1928,588,S0,Female,38,4,62397.41,2,1,0,82866.86,0
180,9286,15770711,S1368,648,S0,Male,58,5,62397.41,2,1,1,90370.79,0
181,3917,15808905,S1794,590,S0,Male,40,6,62397.41,2,1,0,139248.41,0
182,9493,15703541,S778,700,S0,Female,32,5,62397.41,2,1,0,136582.45,0
183,4480,15802501,S1957,604,S0,Female,35,6,62397.41,2,1,1,110648.52,0
184,5757,15577657,S1311,713,S2,Female,37,3,123560.49,2,0,0,92260.04,0
185,4733,15571873,S29,668,S0,Male,32,3,62397.41,1,0,1,109021.59,0
186,8662,15798615,S1536,595,S1,Male,39,3,141091.1,1,1,1,73295.8,0
187,2453,15661526,S2288,688,S1,Male,36,5,124588.58,2,1,0,117656.69,0
188,6956,15786993,S885,652,S0,Male,29,4,115030.44,2,1,0,73954.79,0
189,9370,15707559,S851,527,S0,Female,40,3,129300.37,1,0,1,91486.5,0
190,7776,15604482,S1524,588,S1,Female,46,5,109270.37,3,1,0,117434.76,1
191,7982,15743538,S802,546,S1,Male,44,5,123918.2,1,0,1,73423.13,1
192,843,15689953,S1885,695,S2,Male,42,5,122312.68,1,1,0,129639.67,1
193,5364,15733966,S2146,621,S1,Female,42,6,136154.1,1,0,1,62363.55,0
194,3546,15596671,S702,670,S0,Female,42,5,122001.84,1,1,1,59932.02,1
195,368,15637427,S1994,536,S0,Male,37,5,62397.41,2,1,0,97330.25,0
196,8162,15705860,S223,672,S2,Female,40,6,62397.41,1,1,1,127684.77,0
197,5665,15797767,S1235,615,S1,Male,40,4,106682.06,1,1,1,71462.74,0
198,7933,15575391,S1652,739,S0,Male,37,6,62397.41,1,0,1,127300.28,0
199,6385,15611371,S2344,697,S0,Male,44,4,62397.41,2,1,0,110458.86,0
200,8708,15655339,S271,587,S1,Female,45,4,131536.29,2,1,1,93808.84,0
201,3735,15574608,S2381,552,S1,Male,33,3,118404.04,1,1,1,129180.71,0
202,3271,15593601,S2042,593,S2,Female,42,2,94737.79,1,0,1,83755.0,1
203,7084,15658532,S501,641,S0,Male,45,6,156653.81,1,1,1,71494.57,1
204,1334,15701109,S1818,574,S0,Male,36,3,62397.41,2,0,0,123639.17,0
205,361,15729908,S1378,610,S1,Male,47,6,87104.13,2,1,0,80158.66,0
206,6248,15590146,S2142,550,S0,Male,43,3,111502.17,1,1,1,70563.58,0
207,5027,15631451,S1151,669,S0,Male,54,5,125782.89,1,1,0,105429.51,0
208,1685,15768120,S2057,492,S1,Male,44,6,146220.59,2,0,1,130864.48,0
209,5596,15670914,S2238,522,S1,Female,40,5,128492.68,1,1,0,138050.03,0
210,7481,15766044,S1921,699,S0,Male,36,5,133460.62,1,1,0,80510.73,0
211,8072,15762984,S1001,607,S1,Male,38,6,115935.53,2,1,0,132753.01,0
212,6009,15618243,S2176,552,S2,Male,37,4,62397.41,2,1,0,119327.51,0
213,2596,15631189,S483,565,S2,Male,31,4,62397.41,2,1,0,87259.22,0
214,6201,15752342,S401,713,S0,Female,49,6,123731.39,1,1,1,71886.73,1
215,5864,15685564,S1468,628,S1,Male,43,2,140020.05,1,1,0,130385.34,0
216,4164,15646720,S263,645,S2,Male,41,3,62397.41,2,1,1,135172.48,0
217,9507,15797760,S82,656,S2,Male,35,6,122180.11,1,0,0,64341.89,1
218,4268,15693752,S802,676,S0,Female,33,6,62397.41,2,1,1,129148.49,0
219,681,15776743,S436,641,S1,Female,39,4,126267.11,2,1,0,86836.08,0
220,2794,15665943,S2453,542,S1,Female,48,6,114058.0,1,1,1,87393.48,0
221,4725,15779174,S1562,714,S0,Male,38,6,62397.41,2,1,0,114068.65,0
222,317,15742879,S1253,631,S2,Male,47,4,62397.41,2,0,0,139515.21,0
223,9516,15685019,S796,647,S2,Female,46,4,129352.21,2,1,1,98274.97,0
224,9825,15721569,S594,600,S0,Female,35,5,62397.41,2,0,1,79690.93,0
225,5093,15767358,S922,571,S0,Male,37,5,62397.41,2,0,0,110450.8,0
226,4920,15805303,S48,590,S0,Male,44,5,62397.41,2,0,0,119610.51,0
227,5302,15577598,S1104,684,S0,Male,37,6,103950.06,1,1,0,75348.0,0
228,9926,15719017,S1920,683,S0,Female,36,6,62397.41,2,0,0,132353.89,0
229,9680,15681007,S1130,707,S1,Male,41,3,117658.63,2,0,1,87970.77,0
230,1984,15617655,S2363,674,S2,Male,39,5,62397.41,2,0,1,107489.78,0
231,3292,15801411,S373,609,S1,Female,47,6,125778.72,2,0,1,104554.61,0
232,7239,15784597,S1412,679,S2,Male,36,3,62397.41,2,1,0,63538.88,0
233,2778,15705777,S1088,673,S0,Male,39,6,62397.41,2,1,1,118250.8,0
234,7663,15645778,S2483,651,S0,Female,49,4,99243.25,1,0,0,66535.8,1
235,4906,15643967,S2290,644,S0,Male,49,3,62397.41,2,0,0,103723.68,0
236,4042,15676521,S911,607,S0,Female,36,5,155736.3,2,1,1,90332.74,0
237,5175,15758513,S853,720,S0,Male,32,5,62397.41,2,1,0,134947.5,0
238,4338,15807555,S702,720,S0,Male,32,6,62397.41,2,1,0,83580.83,0
239,204,15631436,S1557,726,S0,Male,39,5,62397.41,2,0,0,100345.28,0
240,6589,15783338,S2160,740,S1,Male,41,4,103508.56,2,1,0,95798.2,0
241,6487,15579617,S1165,560,S0,Female,37,5,118616.6,2,1,1,72929.88,0
242,1849,15752731,S819,641,S1,Male,39,5,102727.83,2,0,0,81639.99,0
243,226,15746749,S2439,668,S0,Female,36,4,106313.13,2,0,0,128123.26,0
244,8023,15758726,S2278,514,S0,Female,35,6,62397.41,1,1,1,101424.27,0
245,7437,15746553,S1363,709,S2,Female,42,5,62397.41,2,1,1,116375.73,0
246,4509,15581811,S351,546,S2,Male,43,4,62397.41,1,1,0,114818.82,0
247,7774,15777784,S82,622,S0,Female,44,6,62397.41,2,1,0,119321.78,0
248,2892,15717898,S1307,641,S0,Female,38,3,62397.41,2,1,1,74787.89,0
249,9069,15592230,S966,570,S0,Male,50,4,62397.41,1,1,1,138362.86,1
250,8238,15638159,S1073,577,S1,Female,38,7,132699.74,2,1,0,64050.44,0
251,4023,15685226,S411,627,S0,Female,42,5,113377.04,2,0,1,59386.59,0
252,4272,15738191,S1833,538,S0,Female,39,5,62397.41,1,1,1,117108.82,0
253,4301,15761023,S2194,659,S1,Male,52,3,136738.24,1,1,1,80280.57,0
254,4640,15734202,S1085,565,S0,Male,41,4,62397.41,2,1,1,117509.04,0
255,4302,15705512,S597,551,S2,Female,39,5,97947.38,1,1,1,66117.6,1
256,3702,15742285,S624,648,S1,Male,40,3,117807.44,1,1,1,133262.37,0
257,6418,15763093,S1524,738,S0,Male,36,4,137222.61,2,0,1,87762.72,0
258,2126,15813946,S1427,638,S0,Female,34,6,62397.41,2,1,0,121604.41,0
259,2011,15703614,S1117,620,S0,Male,70,5,62397.41,2,1,1,126162.76,0
260,2513,15697129,S1019,690,S2,Male,42,3,62397.41,2,0,1,134222.79,0
261,2205,15585284,S725,696,S1,Male,39,2,127305.42,2,1,1,68820.57,0
262,1926,15665238,S551,714,S1,Female,45,3,99833.61,2,0,1,76326.49,0
263,5721,15793842,S1018,590,S0,Female,43,3,119035.09,1,1,1,111790.32,0
264,5473,15714046,S2499,660,S1,Male,52,6,111040.46,1,1,1,122676.46,0
265,4739,15766896,S1900,659,S0,Male,60,5,136968.3,1,0,0,108014.54,1
266,1443,15750396,S1854,723,S2,Male,44,5,62397.41,2,1,0,77621.46,0
267,1338,15813303,S1905,639,S0,Male,32,5,62397.41,1,0,1,72646.28,0
268,7684,15805463,S422,723,S2,Male,44,5,62397.41,2,1,1,114711.81,0
269,2199,15801336,S853,589,S0,Male,42,6,62397.41,1,1,0,77845.14,0
270,3218,15710726,S2076,664,S0,Male,39,5,121562.28,1,1,0,58578.69,0
271,5230,15608209,S1540,727,S2,Male,49,6,132358.37,1,0,1,88967.37,0
272,7455,15748597,S2539,583,S2,Male,35,6,62397.41,2,0,0,90510.25,0
273,2202,15778304,S475,646,S0,Male,44,5,119297.04,2,1,0,72207.0,0
274,2298,15571586,S501,687,S0,Female,48,6,62397.41,1,1,0,105709.35,0
275,8619,15602312,S1657,592,S0,Male,49,5,98096.0,1,1,0,82141.91,0
276,6848,15583138,S1252,644,S0,Female,51,3,62397.41,1,1,0,62660.62,1
277,9374,15771383,S1412,633,S2,Female,39,4,117575.52,2,1,0,114460.31,0
278,4279,15742323,S2263,586,S1,Female,37,5,113707.95,4,0,0,137330.26,1
279,7602,15750769,S865,584,S0,Female,56,6,131725.56,1,1,1,93405.58,0
280,8704,15776231,S1554,753,S2,Female,43,7,62397.41,2,1,1,118282.08,0
281,406,15674678,S331,661,S0,Female,45,5,105706.0,1,1,0,122663.15,0
282,6244,15663921,S172,560,S0,Female,34,5,62397.41,2,0,1,78663.82,0
283,4026,15573309,S528,623,S1,Female,43,2,123967.48,2,1,1,97880.28,0
284,8920,15616213,S433,576,S2,Male,38,5,143633.19,1,1,0,96382.59,0
285,2016,15662901,S297,596,S1,Male,28,3,129090.78,1,1,0,128758.41,0
286,1229,15646615,S1500,638,S0,Male,39,7,62397.41,1,1,1,105984.5,0
287,7782,15680370,S2430,653,S1,Female,39,6,108147.55,2,0,1,127098.75,0
288,6465,15719809,S1426,551,S1,Female,44,6,130000.53,1,1,0,65199.14,0
289,2066,15606436,S2297,658,S0,Male,52,5,132652.42,1,1,0,69177.06,1
290,2390,15576360,S509,529,S0,Female,33,4,129981.67,1,1,1,105637.14,0
291,9744,15708867,S1830,704,S0,Female,44,7,116834.33,4,1,1,115937.1,1
292,7212,15796115,S2496,600,S1,Male,56,6,131986.45,2,1,1,101508.61,0
293,3588,15623082,S290,555,S2,Female,40,6,62397.41,1,1,0,99164.88,1
294,4446,15784286,S1523,672,S0,Male,34,3,62397.41,2,0,0,68660.39,0
295,7676,15762455,S1806,644,S1,Male,41,5,99132.02,2,0,0,140846.26,0
296,7130,15587507,S615,576,S0,Male,41,5,62397.41,2,1,0,71471.16,0
297,8440,15710450,S2297,647,S1,Female,47,4,137170.64,2,1,1,138686.16,0
298,8505,15626742,S1458,663,S0,Male,47,4,62397.41,2,0,1,122468.77,0
299,1307,15762803,S1219,653,S0,Male,42,2,134999.36,1,0,1,115837.86,0
300,188,15715673,S1850,753,S0,Male,29,5,62397.41,2,1,0,70809.88,0
301,3886,15766663,S843,722,S0,Female,37,6,62397.41,2,1,0,115647.16,0
302,3978,15641158,S97,694,S1,Female,55,4,143623.22,1,1,0,60950.22,1
303,6810,15699446,S1424,514,S2,Female,33,5,62397.41,2,1,1,64019.88,0
304,1582,15812365,S1595,655,S1,Male,46,3,146093.02,1,0,0,108346.98,1
305,4890,15770548,S2352,628,S0,Female,44,6,62397.41,2,0,1,96754.2,0
306,4082,15657449,S2432,660,S0,Male,31,6,112325.94,1,1,0,86532.72,1
307,7832,15777504,S2351,674,S2,Female,39,4,98854.27,1,1,1,101671.42,0
308,7225,15796790,S1300,631,S0,Male,37,3,150940.05,2,1,1,122182.42,0
309,5090,15719931,S2199,603,S1,Female,55,3,99655.29,2,1,1,83942.12,1
310,8720,15659105,S1560,600,S2,Male,42,6,151689.33,1,1,1,90290.31,0
311,7439,15794580,S259,595,S0,Male,46,6,62397.41,2,1,1,89956.85,0
312,8603,15670029,S1284,650,S2,Female,41,5,62397.41,2,1,0,102034.7,0
313,4779,15736124,S1504,701,S0,Male,46,6,141789.54,2,0,0,115551.51,0
314,1495,15756425,S1845,618,S0,Male,37,2,62397.41,2,1,1,72163.58,0
315,8750,15684696,S482,575,S2,Female,37,5,125395.09,1,1,0,91312.08,0
316,9361,15638751,S1777,678,S1,Female,38,6,126616.63,2,1,1,122366.23,0
317,2359,15601787,S1256,670,S1,Female,42,6,115417.13,1,0,0,118310.29,1
318,590,15778936,S379,585,S1,Female,66,5,132899.91,1,1,1,139568.76,1
319,7356,15777826,S1765,611,S1,Male,42,7,104944.04,1,1,1,136008.18,0
320,356,15664523,S2109,647,S0,Female,55,2,122691.94,1,0,0,124780.34,1
321,1447,15750776,S2573,660,S2,Male,46,3,130997.24,2,1,0,92700.68,0
322,1181,15597709,S898,661,S1,Female,44,4,137070.35,1,1,0,138163.27,1
323,5834,15637414,S1525,668,S0,Male,39,3,154318.34,1,1,0,58817.59,0
324,3355,15679024,S1952,670,S1,Female,39,6,113802.86,1,0,0,133076.06,1
